INCIDENT_DATETIME,INCIDENT_RESPONSE_SECONDS_QY,DISPATCH_RESPONSE_SECONDS_QY,TRAVEL_TIME_SECONDS_QY,ENGINES_ASSIGNED_QUANTITY,LADDERS_ASSIGNED_QUANTITY,INCIDENT_CLASSIFICATION_GROUP,PROPERTY_USE_DESCRIPTION,BOROUGH,ZIPCODE,CITY_COUNCIL_DIST,LATITUDE,LONGITUDE,YEAR,MONTH,DAY_OF_WEEK,HOUR
2015-10-13 10:50:00,1458,587,744,1,0,STRUCTURAL FIRE,Storage,MANHATTAN,10452,36,40.692078,-73.924325,2015,10,Tue,10
2023-05-20 22:19:00,965,237,447,3,2,UTILITY EMERGENCY,Residential - Multifamily,BRONX,10451,48,40.717642,-74.206263,2023,5,Sat,22
2021-05-08 01:42:00,836,445,209,2,2,MAJOR FIRE,Commercial - Office,QUEENS,10001,19,40.806376,-74.103622,2021,5,Mon,1
2018-06-04 00:39:00,922,384,513,4,2,UNUSUAL INCIDENT,Healthcare,BROOKLYN,11205,33,40.772854,-74.253157,2018,6,Wed,0
2020-02-07 02:41:00,767,227,507,3,0,MAJOR FIRE,Assembly,MANHATTAN,10451,3,40.863907,-74.127632,2020,2,Fri,2
2023-09-04 14:48:00,967,240,550,3,3,ELECTRICAL FIRE,Healthcare,BRONX,10002,8,40.662126,-73.816233,2023,9,Sun,14
2023-09-02 15:52:00,967,168,504,2,1,STRUCTURAL FIRE,Commercial - Mercantile,BROOKLYN,11201,48,40.83743,-73.709841,2023,9,Sat,15
2015-11-10 20:11:00,782,211,369,2,2,NONSTRUCTURAL FIRE,Residential - Multifamily,BRONX,10001,21,40.776018,-74.115577,2015,11,Wed,20
2019-04-16 23:29:00,1359,156,958,1,1,UNUSUAL INCIDENT,Transportation,MANHATTAN,10302,1,40.626764,-74.142113,2019,4,Fri,23
2024-08-26 23:52:00,781,456,290,1,1,UTILITY EMERGENCY,Industrial,QUEENS,10002,42,40.707246,-73.780771,2024,8,Sat,23
2017-03-27 19:14:00,564,245,252,2,1,UTILITY EMERGENCY,Commercial - Mercantile,QUEENS,11368,19,40.877658,-73.792735,2017,3,Fri,19
2022-04-01 09:49:00,1135,218,704,1,0,NONSTRUCTURAL FIRE,Transportation,MANHATTAN,10302,10,40.908447,-73.829129,2022,4,Wed,9
2018-01-10 11:56:00,470,136,258,1,0,ELECTRICAL FIRE,Residential - Multifamily,BRONX,10302,27,40.605209,-74.070002,2018,1,Tue,11
2018-01-27 09:22:00,881,439,281,1,0,ELECTRICAL FIRE,Transportation,BRONX,10002,10,40.616311,-73.881464,2018,1,Sun,9
2024-10-02 11:04:00,1113,661,378,1,2,STRUCTURAL FIRE,Residential - Multifamily,STATEN ISLAND,11201,6,40.585961,-73.775734,2024,10,Sun,11
2015-03-26 18:42:00,928,166,571,1,1,UTILITY EMERGENCY,Storage,BROOKLYN,11201,51,40.618468,-73.926352,2015,3,Tue,18
2017-09-13 01:14:00,1065,598,454,5,1,OUTSIDE FIRE,Transportation,MANHATTAN,11205,4,40.608317,-73.765332,2017,9,Tue,1
2015-08-25 21:26:00,1160,316,687,2,1,APPLIANCE FIRE,Assembly,MANHATTAN,11368,48,40.547715,-74.214776,2015,8,Sat,21
2024-05-02 15:10:00,1225,357,730,4,1,OUTSIDE FIRE,Educational,BROOKLYN,10451,37,40.834283,-73.939091,2024,5,Sun,15
2022-09-07 17:44:00,836,298,373,1,0,OUTSIDE FIRE,Commercial - Office,BRONX,10452,40,40.63871,-74.11725,2022,9,Wed,17
2024-10-26 10:39:00,783,408,244,2,0,MAJOR FIRE,Educational,QUEENS,10452,47,40.55466,-73.792687,2024,10,Fri,10
2021-12-28 03:04:00,947,375,473,3,0,GARBAGE FIRE,Transportation,BRONX,10001,41,40.710371,-73.901775,2021,12,Tue,3
2021-08-06 21:35:00,836,133,518,2,4,NONSTRUCTURAL FIRE,Storage,BROOKLYN,10302,48,40.572723,-73.93007,2021,8,Sat,21
2021-07-02 09:50:00,699,98,580,2,3,MAJOR FIRE,Residential - Multifamily,QUEENS,10302,49,40.794051,-74.243356,2021,7,Wed,9
2016-08-21 02:42:00,697,349,300,4,0,STRUCTURAL FIRE,Commercial - Mercantile,BRONX,11205,38,40.656308,-73.910018,2016,8,Sat,2
2021-01-10 17:10:00,737,176,424,1,1,UTILITY EMERGENCY,Industrial,BROOKLYN,10451,28,40.539056,-73.841244,2021,1,Thu,17
2016-06-09 09:22:00,1078,350,477,4,1,GARBAGE FIRE,Residential - Single Family,BRONX,10301,39,40.642316,-73.8213,2016,6,Sun,9
2019-03-09 22:56:00,854,130,707,4,0,UNUSUAL INCIDENT,Assembly,BRONX,10302,37,40.860616,-73.729166,2019,3,Mon,22
2015-08-15 08:55:00,1407,608,793,4,0,STRUCTURAL FIRE,Storage,MANHATTAN,10302,4,40.6065,-74.144009,2015,8,Sat,8
2020-03-21 23:38:00,457,241,166,3,0,APPLIANCE FIRE,Residential - Multifamily,QUEENS,10301,14,40.673701,-73.734124,2020,3,Fri,23
2015-05-09 08:33:00,992,390,384,1,0,OUTSIDE FIRE,Transportation,BROOKLYN,10302,10,40.898622,-73.972576,2015,5,Mon,8
2024-04-07 17:44:00,787,113,419,1,0,UNUSUAL INCIDENT,Educational,BROOKLYN,10301,38,40.649026,-74.212651,2024,4,Thu,17
2021-07-03 04:36:00,902,167,652,2,4,APPLIANCE FIRE,Residential - Single Family,MANHATTAN,10001,34,40.841835,-74.232346,2021,7,Fri,4
2020-07-17 15:42:00,763,315,376,3,0,STRUCTURAL FIRE,Storage,BROOKLYN,10001,3,40.589235,-73.87299,2020,7,Wed,15
2020-09-10 22:57:00,1245,443,694,3,0,UTILITY EMERGENCY,Residential - Multifamily,QUEENS,11205,20,40.734623,-73.754637,2020,9,Fri,22
2019-03-27 15:27:00,970,418,383,1,0,NONSTRUCTURAL FIRE,Residential - Single Family,QUEENS,10451,40,40.555409,-73.730692,2019,3,Sun,15
2022-11-21 01:47:00,914,371,342,4,1,UTILITY EMERGENCY,Educational,BRONX,11205,45,40.59764,-74.252458,2022,11,Tue,1
2018-06-18 18:13:00,531,140,289,1,3,MAJOR FIRE,Storage,BROOKLYN,10301,32,40.770152,-74.083506,2018,6,Sun,18
2018-09-09 08:40:00,1006,457,374,3,0,UTILITY EMERGENCY,Assembly,BROOKLYN,11205,39,40.555157,-73.903106,2018,9,Mon,8
2024-06-17 18:00:00,514,173,339,2,3,APPLIANCE FIRE,Commercial - Mercantile,MANHATTAN,10002,44,40.892116,-74.068822,2024,6,Fri,18
2015-02-10 01:28:00,898,201,413,2,2,GARBAGE FIRE,Storage,BRONX,11205,11,40.656087,-73.917086,2015,2,Sun,1
2018-09-27 01:00:00,1211,133,1029,3,1,UTILITY EMERGENCY,Transportation,BROOKLYN,10031,51,40.688345,-73.735833,2018,9,Sun,1
2020-12-20 21:04:00,601,197,341,1,2,GARBAGE FIRE,Commercial - Mercantile,MANHATTAN,10452,1,40.522828,-74.070377,2020,12,Wed,21
2017-02-09 02:49:00,970,132,650,1,2,MAJOR FIRE,Industrial,QUEENS,10002,26,40.66987,-74.146065,2017,2,Sat,2
2018-12-05 14:44:00,823,335,425,1,1,UTILITY EMERGENCY,Assembly,STATEN ISLAND,10031,25,40.569013,-73.800839,2018,12,Sat,14
2022-02-16 10:13:00,489,212,218,5,4,CAR FIRE,Industrial,BROOKLYN,11368,43,40.905769,-73.972604,2022,2,Tue,10
2022-12-13 00:13:00,1213,425,695,1,1,MAJOR FIRE,Commercial - Mercantile,BRONX,10031,16,40.617472,-73.971757,2022,12,Sat,0
2023-06-06 02:15:00,958,283,454,1,1,STRUCTURAL FIRE,Educational,BRONX,10302,39,40.56892,-73.846814,2023,6,Mon,2
2021-03-01 03:32:00,481,131,254,2,0,STRUCTURAL FIRE,Transportation,BROOKLYN,10452,19,40.607369,-74.214321,2021,3,Thu,3
2022-07-13 02:39:00,906,189,556,2,0,NONSTRUCTURAL FIRE,Residential - Single Family,QUEENS,11201,1,40.718865,-74.070112,2022,7,Sun,2
2024-03-17 03:37:00,1227,580,360,1,0,NONSTRUCTURAL FIRE,Commercial - Mercantile,MANHATTAN,10452,16,40.711882,-73.700181,2024,3,Sun,3
2022-03-09 11:04:00,776,426,272,1,0,UNUSUAL INCIDENT,Commercial - Office,MANHATTAN,11368,6,40.894104,-74.163195,2022,3,Wed,11
2016-10-17 06:24:00,1272,272,703,1,2,CAR FIRE,Residential - Multifamily,BROOKLYN,11201,45,40.539243,-74.049753,2016,10,Mon,6
2024-10-09 07:02:00,894,415,399,3,1,STRUCTURAL FIRE,Storage,MANHATTAN,10302,4,40.787,-73.817008,2024,10,Mon,7
2019-04-02 10:27:00,1415,559,590,3,1,CAR FIRE,Transportation,BRONX,11205,42,40.621389,-74.137921,2019,4,Sat,10
2024-08-09 21:42:00,711,292,267,3,4,STRUCTURAL FIRE,Residential - Multifamily,BROOKLYN,10002,13,40.659418,-74.165475,2024,8,Sat,21
2023-05-04 03:05:00,1108,380,496,1,2,ELECTRICAL FIRE,Residential - Single Family,BROOKLYN,10302,32,40.501388,-74.087622,2023,5,Mon,3
2024-03-19 18:38:00,622,292,279,2,1,GARBAGE FIRE,Healthcare,MANHATTAN,11201,12,40.536375,-74.092257,2024,3,Tue,18
2017-08-09 01:57:00,1206,631,330,1,3,MAJOR FIRE,Commercial - Mercantile,BROOKLYN,10302,7,40.792677,-73.962901,2017,8,Thu,1
2017-01-22 17:51:00,1352,483,595,2,1,NONSTRUCTURAL FIRE,Residential - Multifamily,QUEENS,10301,49,40.766274,-74.206098,2017,1,Sat,17
2022-09-25 22:04:00,1212,446,552,1,3,ELECTRICAL FIRE,Healthcare,BROOKLYN,10301,6,40.626983,-73.822177,2022,9,Wed,22
2016-11-09 16:42:00,1138,767,356,3,0,OUTSIDE FIRE,Residential - Single Family,QUEENS,11205,47,40.861094,-73.96603,2016,11,Wed,16
2015-06-26 18:55:00,800,262,468,2,2,CAR FIRE,Residential - Multifamily,QUEENS,11205,5,40.572927,-73.798944,2015,6,Wed,18
2022-04-02 10:48:00,801,264,287,2,3,CAR FIRE,Storage,MANHATTAN,10002,35,40.794358,-73.705651,2022,4,Thu,10
2019-06-16 20:05:00,551,168,232,2,2,OUTSIDE FIRE,Commercial - Office,MANHATTAN,10001,7,40.779311,-74.049808,2019,6,Mon,20
2020-02-06 21:07:00,1092,573,239,2,1,UNUSUAL INCIDENT,Storage,BROOKLYN,10031,44,40.651338,-73.980217,2020,2,Mon,21
2016-04-17 12:44:00,710,273,314,1,0,MAJOR FIRE,Storage,BROOKLYN,10452,16,40.565446,-73.741423,2016,4,Tue,12
2021-11-11 02:31:00,456,89,286,1,0,APPLIANCE FIRE,Assembly,BROOKLYN,10452,25,40.876503,-74.120112,2021,11,Mon,2
2020-08-03 10:57:00,727,177,364,3,0,NONSTRUCTURAL FIRE,Residential - Multifamily,STATEN ISLAND,11368,2,40.598818,-73.747376,2020,8,Wed,10
2018-06-17 01:00:00,890,251,443,2,0,UTILITY EMERGENCY,Storage,QUEENS,10001,12,40.887748,-73.766059,2018,6,Tue,1
2018-03-09 14:30:00,1141,469,415,2,0,UTILITY EMERGENCY,Transportation,BRONX,10002,46,40.873347,-74.015585,2018,3,Sat,14
2020-02-03 20:15:00,964,379,563,2,1,NONSTRUCTURAL FIRE,Commercial - Office,QUEENS,10452,40,40.635612,-74.199217,2020,2,Wed,20
2020-11-21 17:48:00,773,225,450,3,0,GARBAGE FIRE,Residential - Single Family,BRONX,10452,20,40.856104,-73.935265,2020,11,Mon,17
2015-01-08 19:39:00,792,248,452,1,1,GARBAGE FIRE,Storage,MANHATTAN,10451,20,40.556363,-73.805481,2015,1,Tue,19
2019-01-06 16:37:00,1022,376,373,1,1,STRUCTURAL FIRE,Educational,BROOKLYN,10302,51,40.88822,-73.997882,2019,1,Sat,16
2023-10-20 01:43:00,671,414,248,4,3,CAR FIRE,Commercial - Office,MANHATTAN,11368,31,40.883837,-74.212637,2023,10,Fri,1
2018-04-12 14:00:00,716,274,408,4,0,STRUCTURAL FIRE,Transportation,QUEENS,10451,6,40.631311,-73.766326,2018,4,Thu,14
2019-12-25 13:03:00,774,277,280,2,2,APPLIANCE FIRE,Healthcare,MANHATTAN,10302,45,40.571811,-74.080411,2019,12,Sun,13
2018-09-07 17:23:00,676,236,234,3,0,STRUCTURAL FIRE,Assembly,BROOKLYN,10302,48,40.768012,-74.222349,2018,9,Fri,17
2015-05-13 19:22:00,1007,289,480,1,0,CAR FIRE,Transportation,BROOKLYN,10452,46,40.745056,-74.154974,2015,5,Tue,19
2019-06-26 23:24:00,707,244,430,3,0,NONSTRUCTURAL FIRE,Educational,BRONX,10302,8,40.689286,-74.17659,2019,6,Tue,23
2023-03-02 13:38:00,578,143,301,3,0,UNUSUAL INCIDENT,Healthcare,BROOKLYN,11205,6,40.632951,-73.93894,2023,3,Thu,13
2018-12-09 02:27:00,742,251,286,3,1,UNUSUAL INCIDENT,Transportation,BRONX,10452,47,40.786259,-73.750171,2018,12,Sat,2
2023-08-23 03:09:00,811,313,325,3,1,STRUCTURAL FIRE,Educational,MANHATTAN,10451,14,40.793245,-74.047339,2023,8,Wed,3
2017-11-18 00:04:00,765,314,413,1,3,UTILITY EMERGENCY,Residential - Multifamily,QUEENS,11205,24,40.595149,-73.944136,2017,11,Tue,0
2022-04-05 13:04:00,799,477,305,2,3,STRUCTURAL FIRE,Industrial,BROOKLYN,10001,13,40.775085,-74.105166,2022,4,Sat,13
2018-08-25 13:49:00,911,252,382,1,1,GARBAGE FIRE,Healthcare,BRONX,10451,11,40.864045,-73.718077,2018,8,Fri,13
2020-01-28 04:37:00,895,581,290,1,0,OUTSIDE FIRE,Educational,BROOKLYN,11205,31,40.870398,-73.704571,2020,1,Sun,4
2024-05-15 21:42:00,1080,661,393,2,0,OUTSIDE FIRE,Industrial,BROOKLYN,10452,31,40.709312,-73.764386,2024,5,Thu,21
2017-05-14 22:44:00,722,299,239,3,1,UTILITY EMERGENCY,Industrial,MANHATTAN,10301,41,40.629775,-74.188169,2017,5,Mon,22
2018-12-07 19:50:00,1311,228,790,1,2,CAR FIRE,Residential - Multifamily,BROOKLYN,10001,40,40.760902,-73.856081,2018,12,Mon,19
2024-07-08 13:28:00,1099,254,722,2,3,NONSTRUCTURAL FIRE,Residential - Multifamily,BROOKLYN,11205,51,40.533792,-74.149708,2024,7,Mon,13
2019-12-13 13:06:00,910,337,397,1,0,APPLIANCE FIRE,Residential - Multifamily,BRONX,11368,14,40.816348,-74.088775,2019,12,Sun,13
2018-04-26 16:45:00,680,150,250,2,2,UNUSUAL INCIDENT,Commercial - Mercantile,QUEENS,10031,3,40.697817,-74.062715,2018,4,Thu,16
2019-07-22 05:32:00,897,405,463,3,1,STRUCTURAL FIRE,Storage,STATEN ISLAND,10301,7,40.873012,-73.981502,2019,7,Tue,5
2017-03-22 00:26:00,906,264,371,3,2,STRUCTURAL FIRE,Educational,MANHATTAN,11368,18,40.904876,-73.715943,2017,3,Mon,0
2020-01-20 13:10:00,488,108,286,1,0,MAJOR FIRE,Transportation,QUEENS,11205,11,40.722162,-73.882882,2020,1,Sat,13
2018-08-13 04:38:00,782,236,317,4,0,UTILITY EMERGENCY,Transportation,QUEENS,10002,28,40.778786,-74.246767,2018,8,Sat,4
2016-03-14 01:06:00,577,232,275,2,1,OUTSIDE FIRE,Commercial - Mercantile,BRONX,10001,28,40.546826,-73.95625,2016,3,Sat,1
2022-08-26 23:45:00,736,190,293,2,1,APPLIANCE FIRE,Commercial - Mercantile,MANHATTAN,11368,23,40.575894,-73.869817,2022,8,Thu,23
2017-12-05 15:51:00,571,180,210,3,0,GARBAGE FIRE,Residential - Multifamily,QUEENS,11201,38,40.619442,-74.126157,2017,12,Mon,15
2018-09-14 05:04:00,1122,466,396,1,1,OUTSIDE FIRE,Industrial,MANHATTAN,10451,20,40.511398,-73.742325,2018,9,Tue,5
2015-10-05 14:27:00,906,219,405,1,1,NONSTRUCTURAL FIRE,Assembly,MANHATTAN,10002,37,40.596849,-74.247135,2015,10,Tue,14
2015-12-05 20:36:00,451,191,199,1,0,ELECTRICAL FIRE,Commercial - Office,STATEN ISLAND,10452,15,40.690607,-74.170856,2015,12,Thu,20
2021-10-13 10:30:00,839,183,373,2,0,OUTSIDE FIRE,Commercial - Office,MANHATTAN,10031,2,40.642265,-73.886832,2021,10,Tue,10
2017-07-27 09:28:00,876,274,392,3,1,STRUCTURAL FIRE,Assembly,BROOKLYN,11368,14,40.627841,-73.877037,2017,7,Thu,9
2024-10-19 16:35:00,793,265,356,3,0,UTILITY EMERGENCY,Industrial,QUEENS,11201,34,40.606031,-73.764318,2024,10,Thu,16
2016-07-26 06:30:00,996,371,366,2,0,UTILITY EMERGENCY,Educational,MANHATTAN,10001,3,40.643847,-74.047196,2016,7,Wed,6
2016-06-10 23:08:00,646,188,265,3,0,UTILITY EMERGENCY,Industrial,BRONX,10452,16,40.574161,-73.988178,2016,6,Mon,23
2021-03-25 11:57:00,1100,182,890,4,1,MAJOR FIRE,Commercial - Office,MANHATTAN,10031,28,40.699399,-74.046611,2021,3,Sat,11
2021-11-04 23:03:00,551,116,217,3,1,UNUSUAL INCIDENT,Industrial,BROOKLYN,11205,26,40.835259,-73.701875,2021,11,Sun,23
2020-12-12 09:01:00,1154,270,715,1,0,UTILITY EMERGENCY,Educational,BROOKLYN,10002,31,40.754796,-73.717665,2020,12,Fri,9
2018-11-16 11:34:00,709,120,384,2,3,STRUCTURAL FIRE,Commercial - Office,MANHATTAN,10002,7,40.508268,-74.009598,2018,11,Fri,11
2023-02-19 11:59:00,592,139,453,3,3,APPLIANCE FIRE,Residential - Multifamily,BROOKLYN,10301,49,40.617571,-73.897268,2023,2,Wed,11
2021-03-04 07:16:00,718,214,366,5,0,STRUCTURAL FIRE,Commercial - Mercantile,QUEENS,11201,35,40.762287,-74.15626,2021,3,Wed,7
2016-11-05 05:47:00,755,207,277,4,3,OUTSIDE FIRE,Commercial - Office,BRONX,10031,37,40.895143,-73.913049,2016,11,Sun,5
2021-04-24 10:44:00,594,260,276,1,0,ELECTRICAL FIRE,Residential - Multifamily,BROOKLYN,11205,31,40.839548,-74.055624,2021,4,Fri,10
2018-07-27 03:00:00,763,221,501,3,1,OUTSIDE FIRE,Residential - Multifamily,MANHATTAN,10301,41,40.520015,-74.033507,2018,7,Sat,3
2020-04-05 18:51:00,969,152,660,3,1,CAR FIRE,Assembly,QUEENS,10002,35,40.750487,-74.029108,2020,4,Tue,18
2023-06-22 19:19:00,848,209,344,4,0,UNUSUAL INCIDENT,Transportation,BRONX,10001,15,40.529094,-74.190343,2023,6,Fri,19
2023-04-12 10:08:00,454,196,253,1,3,ELECTRICAL FIRE,Assembly,STATEN ISLAND,10001,5,40.566589,-74.104397,2023,4,Wed,10
2020-10-24 14:37:00,1038,346,589,3,1,UTILITY EMERGENCY,Commercial - Office,QUEENS,10452,10,40.830684,-74.071451,2020,10,Thu,14
2018-08-08 02:19:00,671,227,333,1,0,STRUCTURAL FIRE,Storage,STATEN ISLAND,11368,49,40.857653,-73.965189,2018,8,Tue,2
2021-08-03 01:35:00,841,292,257,4,3,STRUCTURAL FIRE,Storage,BROOKLYN,10452,36,40.545431,-74.147885,2021,8,Sun,1
2017-12-16 01:10:00,560,245,197,4,1,NONSTRUCTURAL FIRE,Assembly,MANHATTAN,10451,22,40.676801,-74.212411,2017,12,Tue,1
2018-02-24 04:39:00,716,266,378,1,1,MAJOR FIRE,Commercial - Mercantile,QUEENS,10301,6,40.568923,-73.913411,2018,2,Mon,4
2021-02-11 16:49:00,594,140,428,3,1,NONSTRUCTURAL FIRE,Storage,BRONX,10002,15,40.687078,-74.230674,2021,2,Wed,16
2023-04-09 21:17:00,870,177,487,2,1,OUTSIDE FIRE,Healthcare,MANHATTAN,10031,34,40.771763,-73.975591,2023,4,Sat,21
2017-08-24 12:19:00,1381,405,690,1,0,APPLIANCE FIRE,Commercial - Mercantile,STATEN ISLAND,11205,19,40.677525,-74.154738,2017,8,Fri,12
2017-12-13 09:59:00,1382,383,718,3,3,GARBAGE FIRE,Commercial - Office,STATEN ISLAND,11368,38,40.70294,-73.753401,2017,12,Thu,9
2016-05-25 06:11:00,1155,251,672,2,0,ELECTRICAL FIRE,Residential - Multifamily,BROOKLYN,10301,37,40.90976,-73.730146,2016,5,Mon,6
2021-10-07 15:43:00,385,160,203,2,1,ELECTRICAL FIRE,Healthcare,MANHATTAN,11205,19,40.791722,-74.257995,2021,10,Sun,15
2015-04-05 08:20:00,945,295,571,3,2,NONSTRUCTURAL FIRE,Commercial - Mercantile,BRONX,10002,31,40.866413,-73.87822,2015,4,Sun,8
2018-10-13 00:59:00,868,460,247,3,1,NONSTRUCTURAL FIRE,Residential - Single Family,QUEENS,11201,16,40.588347,-74.07512,2018,10,Mon,0
2019-04-18 04:18:00,1087,316,612,1,1,MAJOR FIRE,Industrial,BRONX,10302,35,40.513752,-74.207141,2019,4,Sat,4
2020-07-04 12:35:00,906,495,353,2,3,GARBAGE FIRE,Residential - Single Family,BROOKLYN,10031,12,40.849779,-73.832507,2020,7,Sun,12
2017-03-23 21:47:00,968,301,565,6,2,STRUCTURAL FIRE,Residential - Multifamily,BRONX,11368,16,40.626033,-73.720863,2017,3,Wed,21
2016-02-22 06:39:00,740,273,295,3,0,GARBAGE FIRE,Residential - Single Family,BROOKLYN,10031,49,40.657017,-74.075208,2016,2,Fri,6
2020-01-14 23:25:00,938,218,433,2,1,OUTSIDE FIRE,Storage,BROOKLYN,10031,37,40.624432,-74.082529,2020,1,Thu,23
2016-05-28 16:15:00,1093,377,654,6,0,UNUSUAL INCIDENT,Educational,BRONX,11368,18,40.532824,-74.184168,2016,5,Tue,16
2019-01-28 10:23:00,799,472,298,1,3,NONSTRUCTURAL FIRE,Commercial - Mercantile,MANHATTAN,10452,9,40.622276,-73.882553,2019,1,Fri,10
2023-10-11 20:10:00,587,178,205,1,1,UTILITY EMERGENCY,Assembly,MANHATTAN,10001,20,40.572616,-73.792662,2023,10,Tue,20
2021-05-23 15:04:00,1119,436,390,2,1,NONSTRUCTURAL FIRE,Healthcare,BRONX,11201,42,40.81754,-74.233427,2021,5,Sun,15
2023-06-05 05:47:00,716,137,456,2,0,OUTSIDE FIRE,Residential - Single Family,BROOKLYN,10302,10,40.698057,-73.896795,2023,6,Thu,5
2017-08-14 20:32:00,963,289,572,2,0,UTILITY EMERGENCY,Industrial,MANHATTAN,11368,42,40.589131,-73.851946,2017,8,Sat,20
2021-09-10 05:01:00,975,438,524,6,1,ELECTRICAL FIRE,Residential - Single Family,BRONX,10451,6,40.867539,-73.94458,2021,9,Tue,5
2017-01-23 04:57:00,685,212,204,6,1,CAR FIRE,Residential - Multifamily,BRONX,10302,13,40.864598,-74.097746,2017,1,Wed,4
2020-01-20 04:14:00,828,238,310,6,3,MAJOR FIRE,Residential - Single Family,STATEN ISLAND,10302,28,40.551412,-74.138967,2020,1,Tue,4
2018-08-13 19:32:00,673,174,231,6,3,UNUSUAL INCIDENT,Educational,QUEENS,10302,42,40.710725,-74.232097,2018,8,Mon,19
2020-05-10 21:35:00,1296,418,588,1,0,NONSTRUCTURAL FIRE,Commercial - Mercantile,MANHATTAN,11205,22,40.659884,-74.158457,2020,5,Sun,21
