COLLISION_ID,CRASH_DATE,CRASH_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_MOTORIST_INJURED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,YEAR,MONTH,DAY_OF_WEEK,HOUR,IS_WEEKEND
4000010,07/18/2023,04:15,BRONX,11557,40.500291,-73.888615,1,0,0,1,0,Unsafe Speed,Unspecified,Bike,Taxi,2023,7,Thu,4,0
4000011,05/05/2023,02:50,QUEENS,10824,40.905993,-73.719634,0,0,0,0,0,Driver Inattention,Backing Unsafely,Van,,2023,5,Mon,2,0
4000012,09/19/2022,01:50,BRONX,11656,40.812111,-73.749661,1,0,1,0,0,Alcohol Involvement,Passing Too Closely,Sedan,Taxi,2022,9,Tue,1,0
4000013,11/15/2024,13:14,MANHATTAN,11248,40.565819,-74.060027,0,0,0,0,0,Unsafe Lane Changing,Alcohol Involvement,E-Bike,Station Wagon/SUV,2024,11,Fri,13,1
4000014,05/17/2021,04:09,BROOKLYN,10222,40.554039,-74.16076,0,0,0,0,0,Failure to Yield,Pavement Slippery,Taxi,Station Wagon/SUV,2021,5,Wed,4,0
4000015,11/02/2020,02:37,MANHATTAN,10113,40.721516,-73.720548,0,0,0,0,0,Following Too Closely,Passing Too Closely,Sedan,Van,2020,11,Fri,2,0
4000016,07/12/2019,02:47,BRONX,10148,40.50473,-73.891115,2,0,0,0,2,Passing Too Closely,Traffic Control Disregarded,Sedan,E-Bike,2019,7,Fri,2,1
4000017,06/08/2020,23:22,MANHATTAN,10424,40.808181,-73.928551,3,0,0,0,3,Traffic Control Disregarded,Pavement Slippery,Bike,Sedan,2020,6,Sun,23,0
4000018,12/07/2015,14:36,MANHATTAN,10120,40.637473,-73.964876,1,1,0,0,1,Failure to Yield,Traffic Control Disregarded,Station Wagon/SUV,Pick-up Truck,2015,12,Sat,14,0
4000019,10/23/2015,18:08,BRONX,11014,40.899353,-74.069144,2,0,0,1,1,Failure to Yield,Unsafe Speed,Station Wagon/SUV,Motorcycle,2015,10,Tue,18,1
4000020,03/13/2023,22:40,QUEENS,10777,40.507958,-73.927362,0,0,0,0,0,Driver Inattention,Unsafe Lane Changing,Van,Pick-up Truck,2023,3,Mon,22,1
4000021,10/25/2020,23:32,STATEN ISLAND,10053,40.857795,-74.020551,0,0,0,0,0,Pavement Slippery,Traffic Control Disregarded,Bike,Sedan,2020,10,Sat,23,0
4000022,07/10/2017,15:16,BROOKLYN,11469,40.647803,-73.968614,1,0,0,0,1,Failure to Yield,Following Too Closely,Sedan,Bus,2017,7,Sat,15,0
4000023,04/13/2023,11:32,QUEENS,11078,40.773677,-73.969587,1,0,0,0,1,Traffic Control Disregarded,Following Too Closely,Station Wagon/SUV,Pick-up Truck,2023,4,Tue,11,0
4000024,06/18/2017,04:34,QUEENS,11300,40.909652,-74.248609,0,0,0,0,0,Backing Unsafely,Following Too Closely,Sedan,Ambulance,2017,6,Sat,4,0
4000025,06/18/2023,20:17,BROOKLYN,11670,40.817378,-74.070456,2,0,1,1,0,Unspecified,Passing Too Closely,Pick-up Truck,Sedan,2023,6,Thu,20,0
4000026,03/26/2019,02:08,MANHATTAN,10767,40.757196,-74.171649,0,0,0,0,0,Unspecified,Passing Too Closely,Station Wagon/SUV,Ambulance,2019,3,Fri,2,0
4000027,02/16/2015,10:47,QUEENS,10345,40.63905,-73.768248,2,0,2,0,0,Unsafe Speed,Following Too Closely,Sedan,Pick-up Truck,2015,2,Thu,10,1
4000028,03/14/2019,06:13,QUEENS,11061,40.711721,-73.940387,0,0,0,0,0,Unspecified,Driver Inattention,Bus,Sedan,2019,3,Thu,6,0
4000029,08/06/2024,05:40,BRONX,10455,40.719182,-74.022915,0,0,0,0,0,Unsafe Speed,Traffic Control Disregarded,Station Wagon/SUV,Taxi,2024,8,Sun,5,1
4000030,01/11/2016,13:17,MANHATTAN,10776,40.773913,-73.891669,1,0,1,0,0,Pavement Slippery,Traffic Control Disregarded,Station Wagon/SUV,,2016,1,Fri,13,1
4000031,11/18/2016,15:57,QUEENS,10932,40.829233,-74.148193,0,0,0,0,0,Unsafe Speed,Failure to Yield,Sedan,Motorcycle,2016,11,Wed,15,0
4000032,03/24/2015,22:20,MANHATTAN,10007,40.852826,-74.098484,3,0,3,0,0,Backing Unsafely,Failure to Yield,Sedan,Taxi,2015,3,Sun,22,0
4000033,06/09/2024,09:04,QUEENS,10325,40.763726,-74.110695,1,0,1,1,0,Unspecified,Pavement Slippery,Van,Ambulance,2024,6,Mon,9,1
4000034,12/06/2018,03:44,BRONX,11208,40.661015,-73.922222,1,0,0,0,1,Driver Inattention,Unspecified,Sedan,Ambulance,2018,12,Sun,3,1
4000035,12/06/2018,15:05,BROOKLYN,10933,40.865073,-73.975563,1,0,0,0,1,Unsafe Lane Changing,Alcohol Involvement,Van,Station Wagon/SUV,2018,12,Wed,15,1
4000036,07/05/2019,18:28,QUEENS,10308,40.774646,-73.967537,0,0,0,0,0,Alcohol Involvement,Unsafe Speed,Taxi,Bus,2019,7,Thu,18,0
4000037,12/10/2018,06:58,BROOKLYN,10577,40.547399,-73.718552,2,0,1,0,1,Following Too Closely,Driver Inattention,Sedan,E-Bike,2018,12,Sat,6,0
4000038,10/23/2016,02:33,BRONX,10071,40.520836,-74.165206,0,0,0,0,0,Unsafe Lane Changing,Failure to Yield,Bus,Taxi,2016,10,Fri,2,0
4000039,12/06/2019,02:38,QUEENS,10343,40.551473,-74.136884,0,0,0,0,0,Passing Too Closely,Traffic Control Disregarded,Sedan,Taxi,2019,12,Thu,2,0
4000040,04/13/2022,15:45,MANHATTAN,11445,40.821606,-73.936804,2,0,1,1,0,Traffic Control Disregarded,Unsafe Lane Changing,Sedan,,2022,4,Fri,15,0
4000041,08/09/2020,03:57,STATEN ISLAND,11116,40.892722,-73.974315,0,0,0,0,0,Backing Unsafely,Failure to Yield,Taxi,Station Wagon/SUV,2020,8,Tue,3,0
4000042,11/06/2019,10:00,BRONX,11253,40.793342,-74.006284,0,0,0,0,0,Unsafe Speed,Unsafe Speed,Ambulance,Sedan,2019,11,Fri,10,1
4000043,08/16/2021,09:25,QUEENS,10368,40.528999,-74.010907,3,0,1,1,1,Driver Inattention,Alcohol Involvement,Station Wagon/SUV,Ambulance,2021,8,Sun,9,1
4000044,04/17/2015,00:19,BRONX,11286,40.775018,-73.91143,3,0,0,1,2,Unsafe Lane Changing,Pavement Slippery,Sedan,Pick-up Truck,2015,4,Mon,0,1
4000045,04/04/2020,17:07,MANHATTAN,10377,40.554664,-73.818427,0,0,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,Motorcycle,Bike,2020,4,Wed,17,0
4000046,11/23/2016,18:51,BROOKLYN,10811,40.686342,-74.047368,1,0,0,0,1,Failure to Yield,Pavement Slippery,Sedan,Van,2016,11,Sat,18,1
4000047,05/12/2019,10:11,BRONX,11499,40.57305,-73.977726,1,0,0,0,1,Unspecified,Following Too Closely,Ambulance,Motorcycle,2019,5,Fri,10,0
4000048,03/19/2024,15:47,MANHATTAN,10264,40.765283,-73.849773,0,0,0,0,0,Following Too Closely,Following Too Closely,Station Wagon/SUV,Taxi,2024,3,Fri,15,0
4000049,06/28/2018,21:48,MANHATTAN,11592,40.764495,-74.021127,2,0,1,0,1,Pavement Slippery,Traffic Control Disregarded,Van,E-Bike,2018,6,Sun,21,0
4000050,09/06/2021,19:27,QUEENS,11080,40.87423,-74.130804,1,0,1,0,0,Traffic Control Disregarded,Alcohol Involvement,Sedan,Motorcycle,2021,9,Mon,19,0
4000051,02/04/2023,08:50,MANHATTAN,11573,40.585588,-74.165434,0,0,0,0,0,Unsafe Lane Changing,Unsafe Speed,Bike,Station Wagon/SUV,2023,2,Sun,8,1
4000052,03/21/2023,06:23,MANHATTAN,10511,40.882776,-74.221169,2,0,0,1,1,Driver Inattention,Following Too Closely,Pick-up Truck,Motorcycle,2023,3,Sat,6,0
4000053,10/15/2024,04:54,MANHATTAN,11001,40.820704,-73.867598,0,0,0,0,0,Pavement Slippery,Following Too Closely,Sedan,Van,2024,10,Tue,4,1
4000054,11/08/2015,09:37,QUEENS,10325,40.544839,-74.106615,1,0,0,0,1,Failure to Yield,Driver Inattention,Sedan,Sedan,2015,11,Tue,9,0
4000055,01/27/2021,10:54,QUEENS,10111,40.640716,-73.960597,1,0,0,0,1,Passing Too Closely,Pavement Slippery,Sedan,Taxi,2021,1,Mon,10,0
4000056,06/28/2021,22:43,MANHATTAN,11684,40.846563,-73.899985,2,0,0,0,2,Unsafe Lane Changing,Backing Unsafely,Pick-up Truck,E-Bike,2021,6,Sun,22,1
4000057,11/22/2019,21:44,BROOKLYN,10708,40.553166,-73.857123,3,0,0,1,2,Traffic Control Disregarded,Driver Inattention,E-Bike,Bike,2019,11,Mon,21,1
4000058,11/28/2022,19:45,MANHATTAN,11043,40.569888,-74.237283,3,0,2,1,0,Pavement Slippery,Unspecified,Station Wagon/SUV,Pick-up Truck,2022,11,Thu,19,0
4000059,03/18/2024,04:08,BROOKLYN,10677,40.818811,-74.10685,1,0,1,0,0,Backing Unsafely,Traffic Control Disregarded,E-Bike,,2024,3,Thu,4,0
4000060,01/14/2018,21:02,MANHATTAN,11601,40.707613,-74.10212,1,0,0,1,0,Traffic Control Disregarded,Pavement Slippery,Motorcycle,Station Wagon/SUV,2018,1,Tue,21,1
4000061,07/15/2015,16:58,MANHATTAN,10650,40.782951,-74.000415,0,0,0,0,0,Backing Unsafely,Passing Too Closely,Bike,Motorcycle,2015,7,Wed,16,0
4000062,12/15/2018,17:39,BROOKLYN,10136,40.764379,-73.992147,0,0,0,0,0,Pavement Slippery,Passing Too Closely,Sedan,Taxi,2018,12,Sun,17,0
4000063,06/03/2016,14:32,BRONX,11458,40.573718,-74.132267,0,0,0,0,0,Passing Too Closely,Following Too Closely,E-Bike,Motorcycle,2016,6,Fri,14,0
4000064,10/17/2017,11:03,STATEN ISLAND,11163,40.896882,-74.161138,1,0,0,1,0,Pavement Slippery,Driver Inattention,Sedan,Van,2017,10,Tue,11,0
4000065,10/09/2018,01:57,QUEENS,11413,40.840289,-73.791265,1,0,1,0,0,Unspecified,Following Too Closely,Sedan,Bike,2018,10,Wed,1,1
4000066,07/26/2021,06:44,MANHATTAN,11334,40.604742,-73.981095,0,0,0,0,0,Following Too Closely,Passing Too Closely,Station Wagon/SUV,Motorcycle,2021,7,Wed,6,0
4000067,07/12/2023,02:07,QUEENS,10337,40.771719,-74.176918,0,0,0,0,0,Following Too Closely,Passing Too Closely,Sedan,Pick-up Truck,2023,7,Sat,2,0
4000068,02/11/2018,11:27,QUEENS,10792,40.503947,-73.998223,0,0,0,0,0,Unspecified,Failure to Yield,Sedan,Bus,2018,2,Mon,11,0
4000069,04/12/2016,13:36,MANHATTAN,10128,40.503774,-73.804052,2,0,1,0,1,Unspecified,Failure to Yield,Sedan,,2016,4,Tue,13,0
4000070,05/06/2024,03:12,BROOKLYN,10876,40.517086,-74.080483,0,0,0,0,0,Following Too Closely,Backing Unsafely,E-Bike,Van,2024,5,Thu,3,1
4000071,09/26/2024,04:43,BROOKLYN,10746,40.703742,-74.160175,0,0,0,0,0,Unsafe Lane Changing,Alcohol Involvement,Sedan,Van,2024,9,Fri,4,0
4000072,11/25/2018,18:15,BROOKLYN,11132,40.751774,-73.833228,0,0,0,0,0,Backing Unsafely,Unsafe Lane Changing,Station Wagon/SUV,Bus,2018,11,Wed,18,0
4000073,11/15/2022,13:55,QUEENS,10127,40.562523,-74.244637,0,0,0,0,0,Backing Unsafely,Passing Too Closely,Bike,Motorcycle,2022,11,Wed,13,0
4000074,08/19/2016,22:22,MANHATTAN,11670,40.706125,-73.940955,3,0,0,2,1,Failure to Yield,Traffic Control Disregarded,Motorcycle,Bike,2016,8,Fri,22,1
4000075,08/16/2022,20:03,BROOKLYN,11370,40.756845,-73.861467,0,0,0,0,0,Alcohol Involvement,Unsafe Lane Changing,Bike,,2022,8,Thu,20,0
4000076,09/28/2019,14:07,QUEENS,10707,40.771797,-74.001866,0,0,0,0,0,Failure to Yield,Backing Unsafely,Taxi,Sedan,2019,9,Tue,14,0
4000077,07/05/2016,06:18,BROOKLYN,11323,40.843894,-74.245581,0,0,0,0,0,Failure to Yield,Failure to Yield,Sedan,Bus,2016,7,Sun,6,0
4000078,11/05/2022,00:32,BROOKLYN,10036,40.6893,-73.790732,1,0,0,1,0,Backing Unsafely,Following Too Closely,Bike,,2022,11,Sat,0,0
4000079,06/21/2016,21:36,BRONX,10567,40.898194,-73.865615,0,0,0,0,0,Backing Unsafely,Traffic Control Disregarded,Sedan,,2016,6,Fri,21,0
4000080,09/09/2018,16:11,BROOKLYN,11272,40.886817,-74.238775,0,0,0,0,0,Driver Inattention,Unsafe Speed,E-Bike,Motorcycle,2018,9,Mon,16,1
4000081,05/02/2016,05:14,BROOKLYN,11416,40.903793,-74.011508,3,0,0,0,3,Driver Inattention,Unsafe Speed,Sedan,Sedan,2016,5,Sat,5,0
4000082,05/16/2020,11:58,BROOKLYN,10137,40.891106,-74.078948,0,0,0,0,0,Unsafe Speed,Following Too Closely,Station Wagon/SUV,Pick-up Truck,2020,5,Mon,11,0
4000083,03/22/2017,18:05,BROOKLYN,10120,40.753056,-73.731104,3,0,1,0,2,Driver Inattention,Backing Unsafely,Pick-up Truck,,2017,3,Wed,18,0
4000084,09/24/2021,23:06,QUEENS,10695,40.702011,-73.997279,0,0,0,0,0,Backing Unsafely,Traffic Control Disregarded,Van,Van,2021,9,Tue,23,0
4000085,02/10/2020,13:30,MANHATTAN,10684,40.673958,-74.191705,0,0,0,0,0,Unspecified,Alcohol Involvement,Station Wagon/SUV,Van,2020,2,Sun,13,0
4000086,10/10/2015,09:16,BRONX,10983,40.672517,-74.259557,1,0,0,0,1,Following Too Closely,Failure to Yield,Station Wagon/SUV,,2015,10,Sat,9,0
4000087,03/16/2023,06:51,QUEENS,11236,40.708125,-73.955192,0,0,0,0,0,Passing Too Closely,Following Too Closely,Bike,Ambulance,2023,3,Tue,6,0
4000088,04/20/2021,19:53,BRONX,10869,40.751409,-74.102587,0,0,0,0,0,Pavement Slippery,Failure to Yield,Motorcycle,Bike,2021,4,Sat,19,1
4000089,12/13/2015,19:22,BRONX,11679,40.635674,-74.086301,1,0,0,1,0,Backing Unsafely,Driver Inattention,Sedan,Taxi,2015,12,Tue,19,0
4000090,01/14/2018,23:22,BROOKLYN,11422,40.703036,-73.787927,0,0,0,0,0,Unspecified,Following Too Closely,Station Wagon/SUV,E-Bike,2018,1,Thu,23,0
4000091,02/17/2018,11:33,MANHATTAN,10875,40.632227,-74.105533,2,0,1,0,1,Unsafe Speed,Driver Inattention,Sedan,Station Wagon/SUV,2018,2,Thu,11,0
4000092,05/21/2020,21:02,QUEENS,10491,40.639422,-73.957023,0,0,0,0,0,Following Too Closely,Unsafe Speed,Station Wagon/SUV,Motorcycle,2020,5,Mon,21,1
4000093,06/21/2017,14:58,BROOKLYN,11167,40.684035,-73.985752,1,0,0,0,1,Unspecified,Driver Inattention,Station Wagon/SUV,Station Wagon/SUV,2017,6,Fri,14,1
4000094,06/20/2016,06:44,BROOKLYN,11392,40.645833,-74.084628,0,0,0,0,0,Failure to Yield,Unsafe Lane Changing,Sedan,Van,2016,6,Sat,6,0
4000095,03/18/2017,04:36,BROOKLYN,11516,40.785791,-73.931059,0,0,0,0,0,Failure to Yield,Traffic Control Disregarded,Sedan,Sedan,2017,3,Tue,4,1
4000096,04/23/2018,03:31,BROOKLYN,10101,40.691914,-73.898347,4,0,1,3,0,Unsafe Lane Changing,Traffic Control Disregarded,Sedan,Pick-up Truck,2018,4,Mon,3,0
4000097,11/16/2022,00:02,QUEENS,10560,40.784857,-74.10986,1,0,0,0,1,Unsafe Lane Changing,Passing Too Closely,Pick-up Truck,Sedan,2022,11,Sat,0,0
4000098,09/23/2022,22:05,QUEENS,11621,40.805237,-74.130225,2,0,0,0,2,Driver Inattention,Passing Too Closely,E-Bike,Bike,2022,9,Mon,22,0
4000099,01/11/2015,19:51,MANHATTAN,10232,40.551585,-74.090295,0,0,0,0,0,Alcohol Involvement,Following Too Closely,Taxi,Bike,2015,1,Tue,19,0
4000100,09/03/2023,12:24,BROOKLYN,11224,40.698356,-74.095526,0,0,0,0,0,Driver Inattention,Traffic Control Disregarded,Sedan,Ambulance,2023,9,Fri,12,0
4000101,08/26/2018,04:53,MANHATTAN,10278,40.670688,-74.125952,0,0,0,0,0,Passing Too Closely,Following Too Closely,Station Wagon/SUV,Van,2018,8,Fri,4,0
4000102,04/15/2018,04:57,QUEENS,11327,40.570794,-73.715228,1,0,0,0,1,Traffic Control Disregarded,Driver Inattention,Taxi,Sedan,2018,4,Fri,4,0
4000103,04/22/2018,17:51,BRONX,11000,40.61077,-74.061299,0,0,0,0,0,Passing Too Closely,Unsafe Lane Changing,Bike,,2018,4,Sun,17,0
4000104,05/18/2021,01:38,QUEENS,10903,40.684521,-74.256757,0,0,0,0,0,Failure to Yield,Alcohol Involvement,Sedan,Van,2021,5,Sun,1,0
4000105,11/13/2016,14:09,STATEN ISLAND,10230,40.585929,-73.877046,0,0,0,0,0,Alcohol Involvement,Driver Inattention,Sedan,Sedan,2016,11,Thu,14,0
4000106,10/27/2021,12:18,MANHATTAN,10900,40.589989,-74.128109,1,0,0,0,1,Unspecified,Traffic Control Disregarded,Motorcycle,Bus,2021,10,Fri,12,0
4000107,02/17/2024,05:51,BROOKLYN,10953,40.884494,-74.034508,0,0,0,0,0,Unsafe Speed,Traffic Control Disregarded,Sedan,Bike,2024,2,Sun,5,1
4000108,07/25/2016,23:09,BRONX,11542,40.537968,-73.861723,0,0,0,0,0,Unsafe Lane Changing,Following Too Closely,Taxi,Bike,2016,7,Sun,23,1
4000109,02/27/2017,13:14,BROOKLYN,11587,40.640353,-73.990628,0,0,0,0,0,Failure to Yield,Failure to Yield,Motorcycle,E-Bike,2017,2,Wed,13,1
4000110,07/26/2019,05:52,BRONX,11694,40.561881,-73.860469,0,0,0,0,0,Traffic Control Disregarded,Failure to Yield,Taxi,Bike,2019,7,Tue,5,0
4000111,12/28/2015,02:27,QUEENS,11537,40.586476,-73.735514,0,0,0,0,0,Alcohol Involvement,Unsafe Speed,Sedan,Motorcycle,2015,12,Sat,2,0
4000112,05/12/2022,18:08,STATEN ISLAND,11568,40.845106,-74.235261,1,0,1,0,0,Following Too Closely,Backing Unsafely,Sedan,Bus,2022,5,Sat,18,1
4000113,07/01/2020,20:33,BROOKLYN,10854,40.629821,-74.21091,0,0,0,0,0,Unspecified,Traffic Control Disregarded,Taxi,Station Wagon/SUV,2020,7,Tue,20,1
4000114,01/26/2018,18:55,BROOKLYN,10248,40.532773,-74.049653,0,0,0,0,0,Failure to Yield,Unsafe Speed,Sedan,Bus,2018,1,Mon,18,0
4000115,09/05/2017,17:51,MANHATTAN,11664,40.683037,-74.183987,0,0,0,0,0,Driver Inattention,Driver Inattention,Bike,Taxi,2017,9,Mon,17,0
4000116,04/19/2021,15:23,MANHATTAN,10753,40.585467,-73.930763,0,0,0,0,0,Backing Unsafely,Unspecified,Motorcycle,Van,2021,4,Sat,15,1
4000117,10/09/2020,03:04,BRONX,11592,40.77313,-73.717373,0,0,0,0,0,Unspecified,Unsafe Lane Changing,Bike,Station Wagon/SUV,2020,10,Sun,3,0
4000118,11/08/2023,19:26,BROOKLYN,10077,40.591725,-73.860171,0,0,0,0,0,Backing Unsafely,Unsafe Speed,Bike,Motorcycle,2023,11,Tue,19,0
4000119,08/20/2016,12:24,QUEENS,10812,40.907564,-73.858169,0,0,0,0,0,Unsafe Lane Changing,Alcohol Involvement,Sedan,Bus,2016,8,Sat,12,1
4000120,06/28/2020,08:53,BRONX,10165,40.549856,-74.108533,0,0,0,0,0,Backing Unsafely,Following Too Closely,Bus,E-Bike,2020,6,Fri,8,0
4000121,04/24/2024,22:28,BROOKLYN,10070,40.764402,-73.931181,0,0,0,0,0,Alcohol Involvement,Unsafe Lane Changing,Bike,,2024,4,Fri,22,0
4000122,10/21/2015,07:31,STATEN ISLAND,10002,40.654536,-73.909259,1,0,0,0,1,Alcohol Involvement,Unsafe Lane Changing,Pick-up Truck,,2015,10,Mon,7,0
4000123,08/13/2018,16:49,BRONX,10931,40.718476,-73.754139,0,0,0,0,0,Failure to Yield,Unsafe Lane Changing,Bike,Van,2018,8,Wed,16,0
4000124,09/28/2018,22:17,QUEENS,10021,40.649534,-73.87785,0,0,0,0,0,Unspecified,Following Too Closely,Station Wagon/SUV,Van,2018,9,Wed,22,0
4000125,05/10/2023,08:07,STATEN ISLAND,10251,40.853048,-73.87176,0,0,0,0,0,Unsafe Speed,Passing Too Closely,Station Wagon/SUV,Bike,2023,5,Mon,8,0
4000126,10/24/2023,11:19,MANHATTAN,10853,40.643684,-74.19558,0,0,0,0,0,Backing Unsafely,Unsafe Lane Changing,Motorcycle,Van,2023,10,Wed,11,1
4000127,08/12/2022,04:29,MANHATTAN,11199,40.641047,-73.884501,2,0,0,0,2,Unsafe Speed,Unsafe Speed,Station Wagon/SUV,Ambulance,2022,8,Sun,4,0
4000128,04/27/2022,16:47,MANHATTAN,11055,40.689697,-73.769374,0,0,0,0,0,Following Too Closely,Unsafe Speed,Station Wagon/SUV,Pick-up Truck,2022,4,Wed,16,0
4000129,10/18/2019,12:09,STATEN ISLAND,10398,40.665749,-74.106543,0,0,0,0,0,Driver Inattention,Unspecified,Sedan,Taxi,2019,10,Sun,12,1
4000130,04/08/2017,15:55,QUEENS,11160,40.578753,-74.229024,0,0,0,0,0,Following Too Closely,Failure to Yield,Bike,Ambulance,2017,4,Mon,15,0
4000131,09/23/2024,21:40,BRONX,10220,40.720549,-74.087527,0,0,0,0,0,Failure to Yield,Unspecified,Sedan,Pick-up Truck,2024,9,Sun,21,1
4000132,07/06/2019,18:27,MANHATTAN,11066,40.580119,-74.098665,1,0,1,0,0,Passing Too Closely,Driver Inattention,Sedan,Ambulance,2019,7,Tue,18,0
4000133,05/08/2024,22:19,MANHATTAN,11184,40.616642,-74.201184,1,0,0,0,1,Driver Inattention,Driver Inattention,Motorcycle,Station Wagon/SUV,2024,5,Sun,22,1
4000134,07/23/2021,07:28,QUEENS,10016,40.815646,-74.048622,1,0,0,0,1,Driver Inattention,Driver Inattention,Station Wagon/SUV,,2021,7,Mon,7,0
4000135,12/21/2022,05:25,MANHATTAN,11517,40.58328,-73.797569,0,0,0,0,0,Unsafe Lane Changing,Passing Too Closely,Sedan,Ambulance,2022,12,Fri,5,0
4000136,01/21/2022,17:52,BRONX,11247,40.503457,-73.761932,2,0,1,1,0,Passing Too Closely,Following Too Closely,Sedan,Bike,2022,1,Thu,17,1
4000137,11/11/2016,10:16,BROOKLYN,11574,40.786348,-73.794424,0,0,0,0,0,Passing Too Closely,Driver Inattention,Motorcycle,,2016,11,Wed,10,1
4000138,02/13/2021,08:57,BRONX,11035,40.87788,-73.732216,0,0,0,0,0,Pavement Slippery,Backing Unsafely,Station Wagon/SUV,Bus,2021,2,Mon,8,0
4000139,04/26/2018,14:45,QUEENS,10110,40.584444,-73.740153,1,0,0,1,0,Passing Too Closely,Traffic Control Disregarded,Station Wagon/SUV,Van,2018,4,Mon,14,0
4000140,10/07/2018,13:45,QUEENS,10897,40.820291,-74.157953,0,0,0,0,0,Alcohol Involvement,Driver Inattention,Sedan,E-Bike,2018,10,Mon,13,0
4000141,02/16/2023,06:07,QUEENS,11345,40.84197,-74.235909,0,0,0,0,0,Alcohol Involvement,Failure to Yield,Sedan,Motorcycle,2023,2,Thu,6,0
4000142,06/13/2021,01:41,BROOKLYN,10053,40.814031,-74.173806,1,0,0,1,0,Alcohol Involvement,Following Too Closely,Taxi,Bus,2021,6,Wed,1,0
4000143,02/24/2019,15:31,STATEN ISLAND,10359,40.846364,-74.009507,0,0,0,0,0,Unspecified,Following Too Closely,Sedan,Bike,2019,2,Fri,15,0
4000144,08/28/2019,05:46,BROOKLYN,10795,40.782181,-73.783481,0,0,0,0,0,Unsafe Speed,Driver Inattention,Station Wagon/SUV,,2019,8,Sun,5,1
4000145,11/20/2021,08:21,BROOKLYN,10145,40.517285,-73.970107,1,0,0,1,0,Unsafe Lane Changing,Driver Inattention,Sedan,Station Wagon/SUV,2021,11,Sat,8,0
4000146,07/03/2023,23:47,QUEENS,10079,40.683604,-73.75611,0,0,0,0,0,Passing Too Closely,Unsafe Speed,Station Wagon/SUV,E-Bike,2023,7,Tue,23,0
4000147,05/18/2020,09:31,QUEENS,10911,40.579212,-74.22193,0,0,0,0,0,Following Too Closely,Unspecified,Station Wagon/SUV,Bike,2020,5,Fri,9,0
4000148,10/22/2024,20:53,STATEN ISLAND,11026,40.743314,-73.736351,0,0,0,0,0,Backing Unsafely,Pavement Slippery,Sedan,Bus,2024,10,Mon,20,1
4000149,11/23/2021,10:49,BRONX,10526,40.786551,-73.7658,1,0,0,0,1,Failure to Yield,Following Too Closely,Station Wagon/SUV,Sedan,2021,11,Mon,10,0
4000150,12/18/2018,17:35,BROOKLYN,11661,40.900315,-73.880598,0,0,0,0,0,Alcohol Involvement,Driver Inattention,Bike,Bike,2018,12,Fri,17,1
